title,link,description,date
"ACLU sues to force Shelby County Sheriff to release inmates most at risk for COVID-19
Micaela A Watts and Daniel Connolly ",https://www.commercialappeal.com/story/news/crime/2020/05/20/aclu-sues-shelby-county-sheriff-office-release-medically-vulnerable-inmates-risk-covid-19-pandemic/5213924002/,The lawsuit compels county officials to release detainees considered at an elevated risk for more serious complications of COVID-19.,2020-05-20
"Officer at Shelby County juvenile detention center tests positive for COVID-19
Micaela A Watts and Katherine Burgess ",https://www.commercialappeal.com/story/news/breaking/2020/04/01/shelby-county-juvenile-detention-officer-tests-positive-covid-19/5103364002/,The minors in county custody have been isolated but not tested for the novel coronavirus.,2020-04-01
"Large police presence at peaceful protests against removal of Confederate statues in Memphis
Ryan Poe, Jennifer Pignolet, Katie Fretland, Ryan Poe and Jennifer Pignolet ",https://www.commercialappeal.com/story/news/2018/01/06/large-police-presence-no-arrests-no-property-damage-protesters-rally-against-removal-confederate-sta/1010471001/,"Under the watch of a large law enforcement presence, demonstrators in trucks, cars, on motorcycles and on foot protested Saturday against the recent removal of Confederate…",2018-01-06
"Officer-involved shooting in Memphis leaves suspect dead
Daniel Connolly and Yolanda Jones ",https://www.commercialappeal.com/story/news/crime/2018/01/17/officer-involved-shooting-injures-both-shelby-county-sheriffs-deputy-and-another-man-spokesman-says/1042131001/,A spokesman for the Shelby County Sheriff's office confirmed the death Wednesday evening.,2018-01-17
"No charges filed in deputies' fatal shooting of woman in Lakeland; autopsy lists 7 bullet wounds
Daniel Connolly ",https://www.commercialappeal.com/story/news/crime/2018/02/01/no-charges-filed-deputies-shooting-woman-lakelandautopsy-report-woman-slain-sheriffs-deputies-had-se/1076642001/,"An autopsy report says Nancy Jane Lewellyn, slain by deputies in Lakeland, had 7 bullet wounds.",2018-02-01
"Analysis: Will Roland launch write-in campaign for Shelby County mayor?
Ryan Poe and Ryan Poe ",https://www.commercialappeal.com/story/news/politics/2018/05/14/roland-launch-write-campaign-shelby-county-mayor/607605002/,"Terry Roland, runner-up for the Republican nomination for Shelby County mayor, is fueling worries he may launch a write-in campaign.",2018-05-14
"What Tennessee's new sanctuary cities ban means for Shelby County
Ryan Poe and Ryan Poe ",https://www.commercialappeal.com/story/news/government/county/2018/05/21/what-tennessees-new-sanctuary-cities-ban-means-shelby-county/628741002/,Tennessee Gov. Bill Haslam is allowing a bill banning sanctuary cities to become law without his signature. Here's what the law means for Memphis.,2018-05-21
"Shelby County Sheriff's spokesman suspended over comments on immigrants' arrests
Daniel Connolly and Yolanda Jones ",https://www.commercialappeal.com/story/news/2017/09/25/comments-over-immigrants-arrests-lead-suspension-shelby-county-sheriffs-employee/702258001/,Shelby County Sheriff's  Office spokesman Earle Farrell has been suspended over comments posted on the department's Facebook account.,2017-09-25
"Shelby County Democratic chairman faces backlash over 'name-calling'
Ryan Poe ",https://www.commercialappeal.com/story/news/politics/2018/07/03/shelby-county-democrats-corey-strong-faces-backlash-over-name-calling/755109002/,"Shelby County Democratic Party chairman Corey Strong is facing criticism for calling GOP candidates ""racist, homophobic, unethical and unqualified.""",2018-07-03
"Shelby County jail quietly stops obeying ICE requests to hold immigrants
Daniel Connolly ",https://www.commercialappeal.com/story/news/2018/09/02/memphis-jail-quietly-stops-obeying-ice-requests-hold-immigrants/789886002/,"Though the jail won't hold immigrants beyond their scheduled release dates, jail officials still cooperate with ICE in other ways.",2018-09-02
"Man charged with fatally shooting half-brother in northern Shelby County
Daniel Connolly ",https://www.commercialappeal.com/story/news/crime/2017/12/28/man-killed-northern-shelby-county-authorities-say/989115001/,"The suspect has a history of mental illness and is accused of killing his half-brother and assaulting his stepfather, the Shelby County Sheriff's office said.",2017-12-28
"Former Memphis City Council member Joe Brown says he is recovering from COVID-19
Daniel Connolly ",https://www.commercialappeal.com/story/news/local/2020/08/24/memphis-councilman-joe-brown-has-coronavirus/5626715002/,"The former councilman said he contracted the virus during his campaign for General Sessions Court Clerk, which he won.",2020-08-24
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2020/08/25/shelby-county-schools-stands-up-tennessees-athletic-association-901/5630565002/,Shelby County Schools has formed an exploratory committee to consider leaving the state's high school athletic association over a list of grievances.,2020-08-25
"Council recap: Memphis needs blight 'chemo,' Brown says
Ryan Poe ",https://www.commercialappeal.com/story/news/government/city/2017/04/26/council-recap-memphis-needs-blight-chemo-brown-says/100924838/,"Here's a rundown of Tuesday's Memphis City Council meeting, where the mayor presented his 2017-18 budget.",2017-04-26
"The 9:01: Herenton re-commits to running for Memphis mayor in 2019
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2018/09/13/9-01-herenton-re-commits-running-memphis-mayor-2019/1287795002/,"In today's The 9:01, Herenton gets serious about running for Memphis mayor, Black Panther's Chad Boseman was at St. Jude, and more.",2018-09-13
"Four Memphis City Council members walk out of meeting, stopping controversial District 1 appointment vote
Jamie Munks ",https://www.commercialappeal.com/story/news/2018/12/04/memphis-city-council-district-1-treadaway-logan-vote/2206215002/,Four Memphis City Council members who back Rhonda Logan for the District 1 seat walked out of Tuesday's council meeting.,2018-12-04
"The 9:01: The four horsemen of the Memphis City Council signal end of era
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2018/12/05/memphis-city-council-walkout-over-appointment-ends-era-9-01-treadaway-logan-martavius-reagan-strange/2212477002/,"The ""kumbaya"" era is over at the Memphis City Council after a walkout Tuesday, Reagan Strange advances on NBC's ""The Voice,"" and much, much more.",2018-12-05
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",https://www.commercialappeal.com/story/news/2019/03/19/memphis-councilman-berlin-boyd-state-disclosure-fedex-logistics-job/3208114002/,Memphis Councilman Berlin Boyd filed an amended disclosure with the Tennessee Ethics Commission Monday to include his employment with FedEx Logistics.,2019-03-19
"City Council votes to give greensward control to Memphis Zoo
Ryan Poe ",https://www.commercialappeal.com/story/news/government/city/2016/03/01/city-council-votes-to-give-greensward-control-to-memphis-zoo/90451128/,The City Council voted to approve a resolution to give control of part of the Overton Park greensward to the Memphis Zoo.,2016-03-01
"Attorney Andre Wharton recuses himself from disciplinary hearing of DA Amy Weirich
Katie Fretland ",https://www.commercialappeal.com/story/news/courts/2016/04/11/attorney-andre-wharton-recuses-himself-from-disciplinary-hearing-of-da-amy-weirich/90470034/,Memphis criminal defense attorney Andre Wharton recused himself from the panel hearing the disciplinary case against Shelby County District Attorney Amy Weirich.,2016-04-11
"President Joe Biden, politicians react after MPD officer indictments in Tyre Nichols case",https://www.commercialappeal.com/story/news/local/2023/01/26/reaction-to-the-indictments-of-mpd-officers-involved-in-tyre-nichols-traffic-stop/69844747007/,"Family and friends of Tyre Nichols, attorneys, politicians and the nation all reacted to the indictments of five officers. Here are some of the reactions.",2023-01-26
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",https://www.commercialappeal.com/story/news/local/2022/09/08/memphis-shooting-spree-facebook-live-local-reaction-elected-leaders/8022717001/,"Following a shooting spree that left four dead, three injured and a community shaken, Memphis leaders have expressed anger, sadness and defiance.",2022-09-08
"Memphis has the most TennCare enrollees — but won't get a public hearing on proposed changes
Max Garland ",https://www.commercialappeal.com/story/news/2019/10/01/tenncare-block-grant-public-hearings-memphis-shelby-co/3778137002/,"Memphis is not scheduled to have a public hearing on major changes to the state's Medicaid program, despite Shelby County's large TennCare population.",2019-10-01
"The 9:01: Shelby County should sue the state over unfair school vouchers
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/05/02/shelby-county-should-sue-state-over-unfair-school-vouchers-9-01/3649284002/,"Whatever you think about vouchers, they shouldn't be arbitrarily limited to Shelby and Davidson counties, columnist Ryan Poe argues in The 9:01.",2019-05-02
"MPD, Memphis City Council put pressure on schools, court system after crimes
Samuel Hardiman ",https://www.commercialappeal.com/story/news/2022/09/13/mpd-memphis-shelby-county-schools-crime/10359755002/,MPD Chief C.J. Davis told City Council they are willing to come to the table to talk about the future of Memphis following recent crimes,2022-09-13
"The 901: The Kellogg's strike is over, Hy-Vee grocery chain is coming to Memphis
Dann Miller ",https://www.commercialappeal.com/story/news/local/the-901/2021/12/22/901-kelloggs-strike-over-hy-vee-grocery-store-chain-coming-memphis/8993668002/,"In today's 901: The strike at Kellogg's is over, Memphis is getting a new supermarket and the Orpheum has been sold for $1.",2021-12-22
"Memphis City Council wants city to find another trash pick-up service for Hickory Hill, Cordova
Samuel Hardiman ",https://www.commercialappeal.com/story/news/2021/03/23/memphis-city-council-frustrated-waste-pro-cordova-hickory-hill/6966435002/,Some on the Memphis City Council want Memphis to find a new garbage contractor.,2021-03-23
"What your government did: Memphis votes to buy 100 N. Main; TVA pitches council
Samuel Hardiman ",https://www.commercialappeal.com/story/news/2021/03/02/memphis-agrees-buy-citys-tallest-building/6887217002/,"While the purchase of 100 N. Main received some pushback, only one member of the council voted no, Martavius Jones.",2021-03-02
"Memphis City Council overrides Mayor Jim Strickland's veto, keeping police residency off the ballot
Samuel Hardiman ",https://www.commercialappeal.com/story/news/2020/08/18/memphis-mayor-jim-strickland-vetoes-bill-took-mpd-residency-off-ballot/3395842001/,Strickland vetoed the ordinance the city council passed two weeks ago striking the a referendum on whether public safety employees could live outside Shelby County limits.,2020-08-18
"Despite reservations, Memphis City Council passes mask mandate
Samuel Hardiman ",https://www.commercialappeal.com/story/news/2020/06/16/memphis-mandates-mask-wearing-public-stop-spread-covid-19/3203106001/,The Memphis City Council passed a mask mandate to prevent the spread of COVID-19.,2020-06-16
"The 901: How last night's election upsets could change the Memphis City Council
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/11/15/last-nights-election-upsets-change-memphis-city-council-901/2561988001/,"Last night was a historic night for the Memphis City Council, which will have five elected black women for the first time ever.",2019-11-15
"The 901: Ford officials provide updates on BlueOval City project during Memphis event
Ray Padilla ",https://www.commercialappeal.com/story/news/local/the-901/2022/08/18/901-ford-motor-co-confident-blueoval-city-project-timeline/10356027002/,Key Ford Motor Co. executives involved with BlueOval City held an information session in Memphis discussing topics on the $5.6 billion project.,2022-08-18
"South Memphis development plan involving TIF announced, backed by Shelby Co. mayor
Max Garland ",https://www.commercialappeal.com/story/money/business/development/2020/09/23/south-memphis-development-plan-involving-tif-announced/3505204001/,"A South Memphis redevelopment plan to counter blight and poverty in the community was announced Wednesday, with several notable supporters.",2020-09-23
"LeMoyne-Owen board could soon meet to discuss student calls for president to resign
Jennifer Pignolet ",https://www.commercialappeal.com/story/news/education/2019/02/05/lemoyne-owen-college-board-reviewing-calls-president-andrea-miller-resign-student-government-hbcu/2778454002/,LeMoyne-Owen College's student government association issued a letter to trustees calling for the president's resignation.,2019-02-05
"Jerry C. Johnson, legendary LeMoyne-Owen basketball coach, dies at 102",https://www.commercialappeal.com/story/sports/columnists/mark-giannotto/2021/01/24/jerry-c-johnson-lemoyne-owen-basketball-death/6692671002/,"Johnson, the first Black basketball coach to win a Division III national title, leaves behind a legacy that goes far beyond the court.",2021-01-24
"Memphis attorney, political adviser James S. Gilliland dies at 86
Desiree Stennett ",https://www.commercialappeal.com/story/money/business/development/2020/02/24/james-jim-gilliland-memphis-attorney-dies-86/4859386002/,"Memphis attorney James ""Jim"" Gilliland died Monday at 86. He worked under the Clinton administration and locally under Memphis Mayor Willie Herenton.",2020-02-24
"The 901: Water tower controversy highlights Germantown's political discord
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2020/02/25/water-tower-controversy-highlights-germantowns-political-discord-901/4861711002/,Germantown aldermen hurled insults and pointed fingers during last night's installment in the ongoing saga about a land swap for a new water tower.,2020-02-25
"The 901: ESPN's 'College GameDay' gives Memphis a 'turn to really shine'
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/11/01/espns-college-gameday-gives-memphis-turn-really-shine-901/2486904001/,"Tomorrow is a big day for Memphis, which will be featured on the live broadcast of ESPN's ""College GameDay.""",2019-11-01
"Memphis Mayor Jim Strickland wins reelection with message of unity and optimism
Samuel Hardiman ",https://www.commercialappeal.com/story/news/2019/10/03/memphis-mayoral-election-results/2418558001/,Memphis Mayor Jim Strickland was projected to win the Memphis mayoral election by an out-sized margin Thursday night.,2019-10-03
"The 901: How Memphis Mayor Jim Strickland won reelection
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/10/04/memphis-2019-election-how-mayor-jim-strickland-won-reelection-901/3859747002/,Memphis Mayor Jim Strickland won his reelection in a landslide. Here's how he did it — and why his win should be a lesson to political progressives.,2019-10-04
"Former Memphis businessman and philanthropist Ira Lipman dies at 78
Phillip Jackson ",https://www.commercialappeal.com/story/news/2019/09/17/memphis-crimes-commission-champion-guardsmark-founder-ira-lipman-dies-78/2355497001/,"Ira Lipman, founder of Guardsmark, died on Monday at 78.",2019-09-17
"The 9:01: A TBI investigation of Memphis police shootings isn't enough
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2018/10/01/9-01-tbi-investigation-memphis-police-shootings-isnt-enough/1408078002/,"The 9:01 looks at why TBI review won't solve all of Memphis' problems, lingering questions in Phil Trenary's murder, and more.",2018-10-01
"The 901: Methodist should play more offense, less defense after criticism
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/07/02/methodist-should-play-more-offense-less-defense-after-criticism-901/1625924001/,Methodist Le Bonheur faces a choice: It can either reform the way it works with poor patients to pay bills — or waste energy defending its failings.,2019-07-02
"The 901: In fight over $15, Mayor Harris comes out on top — the U of M, not so much
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/07/09/fight-15-lee-harris-comes-out-tussle-u-memphis-901/1673150001/,Shelby County Mayor Lee Harris won an ill-advised fight for a $15-an-hour minimum wage at the University of Memphis.,2019-07-09
"The 901: Who are the business candidates in Memphis elections? Watch FedEx's donations
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/07/12/who-business-candidates-memphis-elections-watch-fedexs-donations-901/1712497001/,FedEx is one of Memphis' largest companies and it has the political influence to match.,2019-07-12
"Citing 'misinformation,' Strickland says Memphis in May will move for one year, 2021
Samuel Hardiman ",https://www.commercialappeal.com/story/news/2019/07/26/memphis-may-move-2021-mayor-jim-strickland-tom-lee-park/1839638001/,Memphis Mayor Jim Strickland said mediation over the Tom Lee Park renovation plans would continue and opponents are trying to mislead the public,2019-07-26
"The 901: Could 'red flag' laws have prevented the Southaven Walmart shooting?
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/08/02/walmart-shooting-why-doesnt-mississippi-have-red-flag-laws-901/1856253001/,"Seventeen states have red flag laws allowing courts to order removal of weapons from dangerous people. But not Tennessee, Arkansas or Mississippi.",2019-08-02
"A Memphis accounting firm backs Republicans — and has a contract to verify vote count
Daniel Connolly ",https://www.commercialappeal.com/story/news/2018/11/23/memphis-accounting-firm-watkins-uiberall-backs-gop-vote-contract/2068168002/,"Current and former leaders of Memphis accounting firm Watkins Uiberall PLCC are active in elections as donors, treasurers and vote-count contractors",2018-11-23
"The 9:01: Dear Santa, here are the 3 things Memphis really, really needs
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2018/12/21/dear-santa-what-memphis-needs-2019-and-its-third-century-9-01/2385365002/,"Memphis pens a letter to Santa asking for three things: less poverty, more Memphians, and a national championship.",2018-12-21
"The 9:01: What Tami Sawyer's run for mayor means for Memphis
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/03/07/tami-sawyer-runs-memphis-mayor-setting-up-three-way-race-9-01/3089790002/,"County Commissioner and progressive activist Tami Sawyer runs for Memphis mayor, setting up a three-way race with Jim Strickland and Willie Herenton.",2019-03-07
"Tami Sawyer announces run for Memphis mayor in 2019
Jamie Munks and Micaela A Watts ",https://www.commercialappeal.com/story/news/2019/03/07/memphis-mayor-race-tami-sawyer-run-against-jim-strickland/3089827002/,The 36-year-old Shelby County Commissioner announced her intent to run through a video posted to YouTube.,2019-03-07
"Germantown official: Don't like it? Leave
Clay Bailey ",https://www.commercialappeal.com/story/news/local/suburbs/2016/11/03/invitation-leave-germantown-if-you-dont-like-things/93237326/,Don't like the way things are done in Germantown? Elected official issues an invitation to find another city,2016-11-03
Mid-South Memories for Nov. 22,https://www.commercialappeal.com/story/news/local/mid-south-memories/2016/11/21/mid-south-memories-nov-22/94159486/,Mid-South Memories for Nov. 22 from The Commercial Appeal,2016-11-21
"'Put the gun down, Ja': Activists ask Morant to join calls for stricter gun laws amid latest controversy",https://www.commercialappeal.com/story/news/2023/05/18/activists-ask-ja-morant-to-join-calls-for-stricter-gun-laws-amid-latest-controversy/70233464007/,"Activists, at the steps of the FedExForum, call for stricter gun laws, an end to gun violence and ask Ja Morant to ""put the gun down"" and join them.",2023-05-18
"MSCS superintendent search remains on hold until board members agree on an approach
Laura Testino ",https://www.commercialappeal.com/story/news/local/2023/04/25/mscs-superintendent-search-remains-on-hold-board-considers-approach/70148097007/,"The MSCS board dismissed a motion to fire the search firm, appearing instead to accept responsibility for regaining the community's trust in process.",2023-04-25
"MSCS superintendent search firm isn’t enforcing board’s policy on minimum job requirements
Laura Testino ",https://www.commercialappeal.com/story/news/education/2023/04/14/mscs-superintendent-search-firm-not-enforcing-policy-for-requirements/70116854007/,"Some MSCS board members have expressed confidence in the search firm's process, but decision has raised new questions about the superintendent search.",2023-04-14
"In final stretch of superintendent search, MSCS board says it will see the process through",https://www.commercialappeal.com/story/news/education/2023/03/05/mscs-board-commits-to-complete-superintendent-search/69949577007/,"Input from surveys of students, staff, parents and community members has underscored an overwhelming desire for trust with the process and the new superintendent.",2023-03-05
"MSCS asks Germantown School families to decide their fate: Sue, sell or split?",https://www.commercialappeal.com/story/news/education/2022/09/21/memphis-shelby-county-schools-asks-germantown-families-to-decide-fate-sue-sell-or-split/69495124007/,"MSCS officials told parents the district's options are to: ""Pursue action to maintain buildings, seek funding for new schools, or bus students to other schools.""",2022-09-21
"MSCS top official placed on paid leave following complaint filed by direct report
Laura Testino ",https://www.commercialappeal.com/story/news/education/2022/09/12/mscs-top-official-placed-paid-leave-amid-investigation/8063501001/,"John Barker's leave follows an 8-page letter outlining claims brought forth by a direct report, which was sent while he was MSCS co-superintendent.",2022-09-12
Mulroy: Ex-MPD officer Preston Hemphill won't face charges in Tyre Nichols case,https://www.commercialappeal.com/story/news/local/2023/05/02/tyre-nichols-case-former-memphis-police-officer-preston-hemphill-wont-be-charged/70175329007/,"No charges will be filed against former Memphis police officer Preston Hemphill for his role in the Tyre Nichols' traffic stop, DA Steve Mulroy said.",2023-05-02
"'Having the same conversation since 1968': Sanitation workers strike, call for fair wages",https://www.commercialappeal.com/story/news/2023/04/18/memphis-sanitation-workers-strike-call-for-safe-work-conditions-raises/70123431007/,Strikers blocked the entrance to the South Shelby Landfill Tuesday morning as they called for fair wages and safe working conditions.,2023-04-18
"NAACP President Derrick Johnson calls expulsions of Pearson, Jones 'horrific'",https://www.commercialappeal.com/story/news/politics/2023/04/07/naacp-president-calls-expulsions-justin-pearson-justin-jones-horrific/70093621007/,"The NAACP has said it would join the two former representatives in a lawsuit, if they choose to file.",2023-04-07
Ex-Memphis police officers plead not guilty in Tyre Nichols' death,https://www.commercialappeal.com/story/news/2023/02/17/memphis-police-officers-charged-tyre-nichols-killing-plead-not-guilty/69909152007/,The five officers charged with killing 29-year-old Tyre Nichols made their first appearance in court.,2023-02-17
"The brutal death of Tyre Nichols: horror, grief and lessons learned | Norment
Lynn Norment ",https://www.commercialappeal.com/story/opinion/columnists/2023/02/01/norment-what-memphis-can-learn-from-the-brutal-death-of-tyre-nichols/69860188007/,"It seems that after each horrific episode, there is talk of police reform, new laws and how police and police departments can be made more accountable. In this case, there are key…",2023-02-01
Watch: Tyre Nichols' family speaks after viewing footage of traffic stop preceding death,https://www.commercialappeal.com/story/news/2023/01/23/watch-live-tyre-nichols-family-speaks-after-viewing-footage/69832693007/,"Watch: Tyre Nichols' family, attorneys Ben Crump and Antonio Romanucci, and NAACP Memphis President Van Turner speak after seeing arrest footage.",2023-01-23
"The 9:01: Wolfchase enforces unfair no-hoodie policy, leading to arrests
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2018/11/05/wolfchase-galleria-enforces-unfair-no-hoodie-policy-leading-arrests-9-01/1804568002/,"Wolfchase Galleria faces criticism for a no-hoodie policy that resulted in arrests Saturday. Also: Election Day is nigh, Wilbourn is guilty, and more.",2018-11-05
"Memphis among cities where future of Confederate statues remains unclear
Jamie Munks ",https://www.commercialappeal.com/story/news/2018/12/12/memphis-confederate-statues-removed-year-later/2030660002/,"A year after Memphis' Confederate statues came down, their futures remain unknown.",2018-12-12
"Nathan Bedford Forrest descendants sue Memphis, demand return of equestrian statue
Micaela A Watts ",https://www.commercialappeal.com/story/news/2018/12/18/memphis-sued-over-confederate-statue-nathan-bedford-forrest-descendants/2346955002/,A new lawsuit from Confederate General Nathan Bedford Forrest's descendants demands that Memphis return all monuments and remains to his descendants.,2018-12-18
"With 116 youths locked up, Shelby County Commissioners address DOJ report, adult transfers
Katherine Burgess and Sarah Macaraeg ",https://www.commercialappeal.com/story/news/2019/01/09/shelby-county-juvenile-court-doj-report-response/2526671002/,Shelby County Commissioners discussed a report issued by a Department of Justice monitor about practices in Juvenile Court.,2019-01-09
"County Attorney, DOJ monitor’s emails address missing report on racial bias
Sarah Macaraeg and Katherine Burgess ",https://www.commercialappeal.com/story/news/2019/01/18/county-attorney-doj-monitors-emails-address-missing-report-racial-bias/2614068002/,"County Attorney Marlinee Iverson, a former juvenile court judge, advised DOJ monitors that it would violate an agreement to file reports with the Shelby County Commission.",2019-01-18
"Harris calls to withhold funds from election commission to drive improvements
Katherine Burgess ",https://www.commercialappeal.com/story/news/2019/05/21/lee-harris-calls-withhold-funds-election-commission-voter-registration-voting-machines/3759845002/,"$5 million in capital improvement funding for the Shelby County Election Commission is no longer in next year's budget, pending discussions on recent issues.",2019-05-21
"The 9:01: Happy 200th birthday, Memphis. Here's how to celebrate.
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2019/05/22/happy-birthday-memphis-city-incorporated-200-years-ago-9-01/3765155002/,"Memphis today celebrates the 200th anniversary of its incorporation on May 22, 1819.",2019-05-22
"County Commission delays budget vote, supports Juvenile Court oversight
Ryan Poe and Ryan Poe ",https://www.commercialappeal.com/story/news/government/county/2017/06/27/shelby-county-commission-clashes-over-budget-federal-oversight/429221001/,"The Shelby County Commission opted not to approve a budget Monday, but did support continued federal oversight of the Juvenile Court.",2017-06-27
"The 9:01: Removal of Confederate pedestal signals new era for Memphis
Ryan Poe ",https://www.commercialappeal.com/story/news/local/the-901/2018/07/30/9-01-removal-confederate-pedestal-signals-new-era-memphis/817323002/,"In The 9:01 for July 30, a Confederate statue pedestal was removed, early voting numbers are in, and police surveillance without cause needs to stop.",2018-07-30
"Shelby County Commission may appeal opioid-control ruling
Ryan Poe and Ryan Poe ",https://www.commercialappeal.com/story/news/government/county/2017/11/15/shelby-county-commission-may-appeal-opioid-control-ruling/867330001/,The Shelby County Commission could appeal a court ruling giving Mayor Mark Luttrell control of an opioid lawsuit.,2017-11-15
Memphis police to enforce child curfew downtown with a wider program on horizon,https://www.commercialappeal.com/story/news/2023/04/19/memphis-police-to-enforce-child-curfew-downtown/70130343007/,"The Memphis Police Department will enforce the downtown curfew for kids, Memphis Mayor Jim Strickland said Monday.",2023-04-19
